"Age","WA_Tjul","WAPLS_Tjul","MAT_Tjul","RF_Tjul","ERT_Tjul","BRT_Tjul","WA_Tjan","WAPLS_Tjan","MAT_Tjan","RF_Tjan","ERT_Tjan","BRT_Tjan","MinDist"
8270,13.6719407940838,12.9384824328372,11.5639866255388,11.6638773333333,11.7408195,12.4177131131123,-6.3928211944659,-4.2089482236981,-4.35349901015972,-4.49360316666667,-4.60013983333333,-3.36448959755042,8.47753983074703
8388,12.1634372590083,12.9044767848639,12.9366467479446,11.3712776666667,11.5568538333333,11.4831792608479,-6.01291618014508,-4.24771350834409,-1.85299435383918,-3.71752583333333,-4.12148916666666,-3.554510953382,8.57943677853301
8504,14.3284362445273,13.8846786608141,14.2297744846698,13.3263503333333,12.8718553333333,13.752908020421,-5.8502483118064,-3.88766797354997,-1.66032707137246,-3.25262333333333,-2.85482566666667,-3.16867208372609,11.5584015953933
8617,13.5595729623025,13.1011610771695,12.4742462474537,11.9705591666667,11.861611,12.2561485196446,-6.31500223186744,-3.55492183055941,-1.84276244481586,-3.48953216666667,-3.26552366666666,-3.40066381831841,8.36302631613682
8730,12.6753412319112,12.9971219132052,12.9348790829093,11.2646291666667,11.852011,10.8835270673057,-5.82429558759496,-2.79413519245489,-1.82670739635766,-3.59112216666667,-3.35141466666667,-3.14889743823749,8.87989995817974
8843,13.6006431254589,12.9220276363288,12.3892313899062,11.3619376666667,11.6044628333333,11.767402382914,-3.40970414176464,-1.41413018430584,-1.94526764297478,-3.53087466666667,-2.44655633333333,-2.3126804359325,11.2670567296083
8956,13.30700831755,12.9641459724857,12.9508583608841,12.0845031666667,11.7164828333333,11.905036244807,-5.75783611228768,-3.25833893043714,-1.82061138453925,-3.1932435,-3.453263,-4.37491495606254,9.64753905551391
9069,13.6235922891636,13.333913749096,11.1011464537061,11.413633,11.314094,11.1459493139368,-6.10838083910344,-4.5409780748406,-4.87903554212582,-3.68762516666667,-3.57198366666667,-3.9876411848442,15.3448600616986
9097,13.5795886497709,12.9220955329325,10.0429568643755,11.6959113333333,11.2470725,11.2327987258969,-5.12238527347045,-2.4582243211059,-6.15508858775153,-3.90004383333333,-3.14060116666667,-3.20897800768336,13.8647526780231
9126,13.4582822513555,13.1454181736534,10.3189680942436,11.2691696666667,10.9964011666667,11.3733542243809,-6.11824820989639,-4.02150515819956,-5.567027313584,-3.99848016666667,-3.57712366666667,-3.81924287678319,14.171859856303
9154,13.7264103263444,13.1609823827711,11.4608973320008,11.9247993333333,11.4623928333333,12.0091211077082,-5.26026348135681,-2.63033870055323,-3.6636773113214,-3.49943783333334,-3.10097016666667,-3.00115160443888,15.2126904315971
9182,12.5677434250906,12.6999418809364,11.172132246862,11.0349808333333,11.0471341666667,11.2064012299699,-6.08208319252673,-3.47022961054773,-4.44883068971467,-3.5957465,-3.2842335,-2.8617626536622,14.8919624618508
9210,13.7793679403576,13.4667247472998,11.4102184455331,11.9382278333333,11.2384983333333,11.0162610600548,-5.01915002031326,-3.03216637444459,-3.76198690961933,-3.55287666666667,-2.9435145,-3.66578214721141,14.4600962592971
9239,12.5700955676685,12.8352416391929,9.93820986946262,11.3369691666667,11.1389136666667,11.3256614324844,-6.51456047401784,-4.77158594005499,-6.38791058070001,-4.38932233333333,-4.14325666666667,-3.7833776573476,16.6645441818103
9267,13.5059701710274,13.2899934063062,11.1676447978581,11.9576323333333,11.7183571666667,10.9407520312922,-5.22678191020489,-2.99509761493328,-4.46502662955877,-3.886325,-2.9880105,-2.7272949426758,13.9422839253157
9295,13.6303356055997,13.0532925590699,11.4548760159033,12.247959,11.559201,11.4672733817018,-4.98845310266721,-2.4529971626569,-3.69567228316284,-3.21329466666667,-3.1794555,-3.01600066035994,12.3839280982429
9323,13.4400417060682,12.9023884787064,11.310261645017,10.9354675,10.8546723333333,10.4215321484772,-5.31106943117261,-3.4180716295986,-3.93987210164007,-4.02428916666667,-3.30138933333334,-3.40798790784831,14.2027913088712
9352,12.7717385549906,12.5334322509434,8.73062053713254,11.0612471666667,10.9206613333333,10.2166636010363,-6.62563185121684,-6.02065976272804,-9.89497605331043,-4.962083,-4.66964733333334,-6.27101294640575,15.8926753486669
9402,12.5343610865008,11.6845066641511,9.53767649636466,11.8559873333333,11.628949,10.5215138053807,-6.19222222556416,-4.94036649242312,-7.62520335483962,-3.882281,-3.79412683333334,-5.24552340242953,14.6609800290136
9539,12.9831328745288,12.9917019960072,9.92008095493455,11.7615865,11.6940736666667,11.3667737875646,-5.70126245632063,-4.67382565302901,-7.61541217940313,-4.14608916666667,-3.45832816666666,-3.92971612417328,17.2214220753521
9676,13.0152195780643,12.7497980011966,8.77812572373145,11.0549216666667,11.0822881666667,10.8770380038732,-6.15372609541684,-4.467179992694,-9.85767334702493,-3.79753566666667,-3.9839945,-4.53382706693109,13.7926194634878
9813,12.9001508233323,12.8847475272677,9.04156221366401,11.1537961666667,10.9676351666667,10.0935875300424,-6.19680097186763,-4.21616820858304,-8.6386681902752,-3.63857183333333,-3.75309433333333,-4.31069654963311,13.4711027386084
9950,12.6100398358658,12.4027762129483,10.219372225488,11.7168306666667,11.5479963333333,11.4734724864871,-5.0403174562951,-3.90680681041637,-7.34285408897301,-3.25982533333333,-3.18166883333333,-3.83400615100569,15.5485073964104
10087,11.9932670091847,11.1556514813628,9.2430193679682,10.9579635,10.9246526666667,10.9624570257816,-6.53823105284943,-5.05103036862177,-8.24549547573079,-4.07026183333333,-3.92834766666667,-4.93871577983997,16.7239389759709
10224,12.2059398918144,11.971811887165,8.75805534330726,11.8623296666667,11.1900551666667,11.4961453276668,-6.38906871865213,-5.666634134016,-9.76503656102388,-4.41747066666667,-4.4373595,-5.55661848804595,16.8335763363746
10361,13.1059488971094,13.1077735593338,10.3579307748369,12.3508331666667,11.9174193333333,11.7258637949248,-4.6567495755931,-2.38211140667316,-6.32819666557145,-3.4757385,-3.0577875,-4.94060863260359,21.5920206156645
10498,12.6065699755362,12.3467689353935,8.78156260919589,11.1162125,11.0674438333333,10.7924061494075,-5.97892134123186,-4.96008281294004,-9.76364735668405,-4.39824966666667,-4.18394133333334,-5.6119505486793,17.2690631866344
10636,13.4644397558154,13.7317042704139,11.9334180590271,12.4045536666667,12.034945,12.4573108972189,-5.42398106381323,-4.82167013267804,-3.55362124682645,-4.29420166666667,-3.9374605,-5.96583192162031,25.7889412158109
10773,13.9897700738738,13.7932457533814,10.2832364886551,13.0018025,12.2881675,12.2413819152393,-4.35077738289589,-3.79531749762808,-7.21174739824881,-2.3412335,-2.56471583333333,-5.15807146257678,15.4214678919481
10910,12.8165346841582,12.7424915423768,10.3220586538978,11.668028,11.2927776666667,11.0147098463489,-5.99804148555538,-3.61352151471191,-6.06466331080048,-3.7491605,-3.8712695,-5.51333233562419,24.5505802457977
11047,13.135636697231,12.5551884971174,9.95763466388069,12.8970285,12.0163646666667,11.9980930733217,-5.84007318776462,-4.45742269940352,-7.6685837912049,-4.500104,-4.40853866666667,-5.4664487120551,18.9876993315004
11115,14.4190367117588,13.2721651823042,11.4838157956407,12.7299156666667,12.015189,11.6365331713056,-5.65836639129978,-5.35629718547011,-7.76084308878598,-4.46022933333334,-4.3484515,-5.67299678217694,22.3074435385619
2346,16.4732767680527,17.1579841621451,15.9840409346973,15.7528388333333,15.5492421666667,16.1893557795639,-5.45214441954642,-6.64073961751255,-11.1700833365604,-6.15398616666667,-7.12449299999999,-6.71545803709925,9.61055662682918
2437,16.2755921107344,16.8203736624271,15.7722121371326,16.0431503333333,15.9716766666667,16.8692313745993,-6.61815500712635,-9.07113394313934,-11.5852347296266,-6.18521183333333,-7.39642966666667,-6.60946079108885,8.28024724548674
2529,16.526535392709,17.372931842768,15.3217359473208,15.8077828333333,15.8191071666667,16.3472629414842,-3.95572152175866,-6.236264826878,-9.3758250052428,-5.07952466666667,-6.02037033333333,-6.03472971227312,11.7077988915668
2622,16.3002681489899,16.0923963447311,15.296368801044,15.3960208333333,15.4321901666666,15.8477680904662,-4.98547460971676,-7.15791072477612,-9.74665343573356,-5.11806683333333,-6.2168725,-6.47256231024045,9.06898170237465
2717,16.4483732797086,17.1389011270396,14.6900889483197,15.6574126666667,15.3536255,16.5373743630553,-5.63100272242386,-6.95134680686615,-12.4001693187399,-5.7208385,-6.598004,-6.94440406232581,10.8175076735224
2812,16.3772299353818,17.008520808826,14.0005820934972,15.6594561666667,15.5195773333333,15.8858131124375,-6.38103998722032,-7.58395092450609,-13.7567989466185,-5.02946733333333,-6.91404433333334,-6.53790110504546,9.34888194822191
2909,16.3728260790929,16.8315228771807,14.0965661922528,15.6858351666667,15.283537,16.1640088393109,-5.36150061255926,-6.22521595250265,-11.390223458183,-5.71414533333333,-6.56060083333333,-6.26514754185887,11.8194597263632
3006,16.5436540297588,17.4537874886606,16.6128945519564,16.2019451666667,16.0187701666667,16.2631255095433,-3.83065255477148,-6.2093121336425,-9.56745755922478,-5.13908016666667,-6.18190216666666,-6.16188045108266,8.89573763702561
3105,16.5375118639449,17.3210952226474,15.377461403951,15.9247676666667,15.8038436666667,16.3496980523409,-3.65500475924023,-5.31627592805754,-8.58458117516714,-4.8989435,-5.87458633333333,-5.7673039992176,11.1139239537646
3204,16.5337729493895,17.3717647633775,15.8076464497337,15.7319146666667,15.8344728333333,17.0183114617039,-4.16620637036686,-7.11960675423028,-11.9297897443508,-4.7317245,-6.30327783333333,-5.90619753470367,11.3163294404886
3303,16.4406602040732,17.4015763548886,15.8967122932362,15.807192,15.7886398333333,16.4182957472304,-6.10764743914828,-7.45876469379997,-11.7861871418728,-5.59507616666667,-6.95633116666667,-5.68600925460015,9.53296656388761
3403,16.6053286694902,18.2144066875505,16.3624684401834,15.7961961666667,15.9197388333333,17.3545518350722,-2.88837635269572,-4.78971124811771,-7.42072185339402,-4.3434905,-5.64221283333333,-4.91565751699349,14.7089621245079
3504,16.4152471075587,17.2663158821347,15.5803972173812,15.6775463333333,15.4429968333333,15.9711048010335,-5.45820774693449,-7.62228560189261,-10.7869701135789,-5.200507,-6.88631983333333,-7.15297710039628,10.7471127116616
3605,16.6147299307778,18.1472263682092,15.7305531679603,16.0208813333333,16.1711176666667,17.1888723735452,-2.76318948438344,-4.41223856011989,-8.7549721817473,-4.69464633333333,-5.84023516666666,-4.8336085638529,13.3126988789156
3707,16.5231071989017,17.6206163467216,15.3491542945794,15.8340013333333,15.7614658333333,16.9431848744671,-4.5150848595253,-5.7872132119391,-9.5430825075611,-5.0269405,-6.06803583333333,-5.67971685758988,12.9067580699023
3809,16.3664637252915,16.9841129181045,13.4512268027095,15.5215371666667,15.3555065,15.876400866293,-5.05371004810207,-7.74826806676313,-15.3313742589558,-5.74187916666667,-7.81905766666667,-7.66326349566107,11.431339634229
3911,16.516962500271,17.6036899073911,15.2126614475004,15.636377,15.5521725,16.6445857581523,-4.91353446828858,-5.48216310664667,-10.7123216104003,-5.26291683333333,-6.5437055,-5.33370358967058,13.2687247421346
4014,16.5831256492452,18.4425638612224,15.8683103841353,15.8939151666667,15.9837988333333,17.1565280474471,-4.14580645416712,-5.1322657862883,-7.41630731850394,-5.38850816666667,-6.33979833333333,-5.89199454416462,14.0735909586632
4118,16.5585717212309,18.3796469003253,16.3404298557012,15.7987576666667,15.8335818333333,16.6620181975826,-4.83132460623882,-5.52000024259902,-7.67514836192614,-5.31325616666667,-6.06314266666666,-6.11077885589054,15.6390120717508
4222,16.5946144419823,18.5555051448658,16.3109369110523,16.1389375,16.1250683333333,18.0415803616311,-4.00297412250368,-4.14614119845453,-7.18605460609468,-4.62638533333333,-5.80660183333333,-4.70648139832345,14.5109909474534
4326,16.4407994472681,17.6781484849537,14.8142658688435,15.5489755,15.458604,16.3878789446612,-5.74952640359197,-5.74881424203969,-11.2375186555565,-5.37838133333334,-6.3133035,-6.5796540958623,14.5373656424211
4458,16.5424638491569,17.6234235700618,15.8189994440673,15.8418265,15.9663663333333,17.2147546815371,-3.37251120004023,-5.15224629713785,-6.79813155341301,-5.0919755,-6.14210966666666,-6.07004178634384,13.1327475122813
4537,16.4978027166123,17.6476758322827,15.5288140607243,15.5207796666667,15.534321,16.4290448859285,-5.0807511952111,-5.43609578138923,-8.85914650104572,-4.69408416666667,-5.87186283333333,-5.95147953745623,13.4890649351315
4643,16.5529439625039,17.3850153824176,15.3597377136669,15.9116205,15.8879541666667,17.0423207425208,-4.25335116910017,-5.34102564250431,-9.50827339354314,-5.747441,-6.57775316666666,-6.35700151079076,11.7983608438672
4749,16.5578883149197,17.73479993295,15.5053196785245,15.6925251666667,15.7097483333333,17.0312344108547,-4.04027315371137,-5.32673105843104,-8.98324570615001,-5.51386633333334,-6.7683925,-6.05381736238026,13.5726652011426
4856,16.5024006386495,17.5872901675382,15.3420527542321,15.7204683333333,15.7394801666666,17.1994072830431,-5.22392150818132,-6.01602809148785,-9.50548663969939,-5.3615685,-6.47040833333334,-6.30064449172504,13.6793313749354
4963,16.5495507235403,17.645494046544,16.0914340849007,15.890548,16.0560973333333,16.8347553290571,-4.46819901746038,-4.90279491611624,-7.12702826200979,-5.38944483333333,-6.29436433333333,-6.53656508815339,13.8058128669511
5071,16.5393449670115,18.162024717759,16.318470851062,15.9393361666667,15.971156,17.2687042602438,-5.40099308263006,-6.74466492546279,-9.27859865230208,-5.92560933333334,-6.61446033333333,-6.72522344810736,13.3670595678731
5179,16.4680544796618,17.345696024429,15.2027356983143,15.6705878333333,15.4107761666667,16.4808497293105,-4.66927754477948,-5.82172939434544,-9.38841167023184,-5.2769,-6.22714816666666,-6.50809024091568,14.648003604065
5287,16.4232236465264,17.3468552350542,16.0957029396047,15.7978971666667,15.888059,17.2654849230189,-4.71086367198977,-4.80496334362062,-7.16592500536282,-5.22664066666667,-6.23320999999999,-6.08203562801503,14.4587939249853
5396,16.5598246199386,18.3495874116765,16.3509593483854,15.9062946666667,15.9052206666667,16.9059024479348,-4.95431967654759,-5.23787179357414,-7.71278446015287,-5.44819383333333,-6.50435933333333,-5.38397552636775,15.9810154961592
5533,16.5460304600009,17.8652256670609,14.7927755735691,15.726771,15.8109881666667,17.0809497504226,-4.88692039960874,-5.70052865458377,-11.136167682089,-5.33247066666667,-6.6378225,-5.35195569429988,11.7593361856927
5614,16.5131399048588,17.9565226761461,15.6998040064837,15.7153728333333,15.80813,16.8580320503334,-5.0556489836714,-5.44656146733706,-7.42328435622839,-5.68125983333333,-6.45122516666666,-5.83101768568677,15.8890350938596
2257,16.5023076899759,17.0910416988449,15.9144272466555,15.9591216666667,16.0249795,16.7041811884115,-4.77305444451075,-7.06328769651638,-7.15711086432565,-6.83359966666667,-6.974002,-6.47130683529999,6.91532289985407
2169,16.3371923214784,16.6113505515813,15.6306408671391,15.8927983333333,15.7159075,16.4035761496081,-6.77481063575879,-9.0363885532351,-9.18972540362863,-7.90093216666667,-8.3254215,-8.2499971518525,5.65984813183489
2084,16.4579619306321,17.1572271493914,14.620633800793,15.8129346666667,15.4657693333333,15.3504960172051,-6.65747867672133,-10.606690507838,-10.9277068816628,-8.20758166666666,-9.002805,-8.433271383174,7.00132554793854
2000,16.5215391709376,16.9730497829337,15.8351482929055,15.8510123333333,15.6329486666667,16.1907975652982,-6.23800154907448,-9.68956270429476,-10.5979835135425,-7.82854283333333,-8.46789133333333,-8.39311814371191,5.55673424799966
1917,16.505464274425,16.6854119664876,15.6223185178796,15.6959125,15.4756298333333,16.2211700120391,-6.38498578817977,-9.93457881841212,-9.16992375792445,-7.34721766666667,-7.8977735,-7.60644080179448,4.65639381943051
1816,16.4548121054263,15.8864416195532,15.7870841321747,15.8985323333333,15.6314376666667,15.8628990277373,-5.72828002805179,-9.40803596183505,-8.83640495062761,-7.08551233333333,-8.09953533333333,-7.61558008251106,4.25067651776256
1757,16.3963700092439,16.6097316527767,15.2330104937598,15.7249223333333,15.237887,16.2929940291122,-7.14249955045522,-11.7804964545009,-8.60572041847792,-7.64659533333333,-8.67792283333334,-8.46128811127451,5.55893809131044
1679,16.5638117348516,16.9961223460499,15.8569050431904,15.9412651666667,15.923066,16.5116603530505,-4.75375135160149,-8.55532444433814,-7.57786327267599,-7.05547816666666,-7.257537,-7.29563519070845,7.60607050909876
1603,16.4537405700857,17.0511071083825,15.4309020400446,15.8892693333333,15.3888673333333,16.4854313839129,-6.81373711611048,-10.1939378660143,-6.97588607700668,-7.382756,-7.984609,-7.96115924694152,6.23735397208218
1454,16.4896386221137,16.9878052198757,14.3614726491807,15.7295563333333,15.3032023333333,15.3226251884471,-6.75530931239253,-9.75868851617876,-10.1267939164994,-6.5812965,-7.68702533333334,-8.25158137492922,6.48070854657909
1310,16.4486250772646,16.7858722553249,13.5911205574234,15.6302178333333,15.2586448333333,15.6123279813726,-6.93525526283913,-10.3911580446274,-10.1613542183933,-7.904783,-8.83575716666666,-8.48673113840207,5.53525498927711
1170,16.4534989979089,16.7140609610612,14.1046651853261,15.825665,15.5783703333333,15.4782705220528,-6.73763750525802,-9.58472506781973,-8.87151316032032,-8.05179283333333,-9.25839583333332,-9.25522516462259,4.7667014128752
1034,16.5800976636745,16.8415600287521,14.7954256458435,16.0595895,16.0339603333333,16.3966865769763,-4.38292642005097,-10.0731252763217,-10.4580589470308,-7.75344316666667,-8.44412016666667,-7.37373314151367,5.28011098273807
885,15.5640435499386,15.6500452931524,13.8195319318852,14.979535,14.5787465,15.1217481043447,-6.81586905732965,-10.6036337723831,-11.9872914675556,-8.30758083333333,-9.60977483333333,-9.93310360428484,5.10290600045518
771,16.2223449586669,15.9043518056431,13.418584020093,15.1904615,14.8229513333333,14.7209290608212,-6.70763321105266,-8.85028267158828,-11.5662434356269,-7.83417383333333,-8.8047115,-9.04353928705313,3.86066059509155
643,15.3623925999892,14.8084484104094,13.9380679421068,14.9313786666667,14.7940335,14.8374017330316,-6.92024064325481,-10.3261554766409,-11.5419306589383,-8.38301733333333,-10.3661155,-9.35193566058723,2.73808209335491
517,15.7180584552508,15.4226249723539,13.5277522979736,14.7847096666667,14.7662173333333,15.5920696889507,-6.74578883143751,-9.91581460356348,-14.5157367906427,-10.2583298333333,-11.3646436666666,-11.0552199659982,3.51251168138401
422,15.5381265530733,15.0828384969324,16.0133405470148,14.829917,15.2415858333333,15.5151002787544,-6.50708999605597,-8.22339700788839,-8.75337953768744,-8.24384516666667,-8.50746966666666,-8.01346443869954,4.49475678661946
376,15.173062968084,15.2603065015417,16.0874872538083,15.3072351666667,15.4975766666667,15.6216530615365,-7.24718277164677,-8.31097533947191,-9.42059697196209,-8.9978905,-8.85106566666666,-8.84992108267988,4.14589009327095
267,15.0043558688039,14.4507509425639,15.8368032289488,15.2269223333333,15.3909161666667,15.536293496685,-6.887143280468,-8.74041729540797,-7.29600426348379,-7.93387966666667,-8.25185149999999,-8.06487326256288,2.60164908681094
236,15.4568207845944,14.7979320493015,14.4258686369467,14.4796725,14.7595845,15.0217177870692,-6.42373222145996,-7.80617976808366,-8.7900432064,-7.59884333333334,-7.5018275,-8.07346432323653,4.97870981784324
143,14.7071747988948,14.0370463901057,14.5997480411214,14.5622893333333,14.7168161666666,14.6672583535868,-7.39388560075331,-8.40411501763976,-7.83617098497669,-8.144555,-7.88256883333333,-8.19584281143009,4.20627775450572
82,15.3083083527961,15.4986019590985,14.967536516693,15.0201603333333,14.9400111666667,15.1420541080435,-7.20386850390871,-8.70597731890504,-8.30974594257605,-7.73032816666667,-7.9442235,-8.17932579092382,4.09109680637592
-41,15.733679668022,15.2730949268807,14.5388927826714,14.5062638333333,14.468465,14.4444857047382,-7.2323064162687,-10.7229408010688,-8.23749509225386,-8.69162683333333,-8.79393633333333,-9.3622029613599,0.0237952024088717
5724,16.5805052144869,18.3555598069272,16.2500856824062,16.0073683333333,16.3363643333333,17.604988614819,-3.69621084289762,-3.51221549322325,-7.49690152050251,-5.26730083333333,-6.13128249999999,-5.31455705346963,15.1836351508663
5832,16.5349351052237,18.0305504558387,16.0666878269808,15.876722,15.9257381666667,17.3596981327163,-3.96164307571746,-4.92592861156296,-6.63757556793871,-5.94289633333333,-6.34554533333333,-5.86165756717814,14.7429490809076
5941,16.5407844213544,18.1023948390017,16.3279046628533,15.983687,15.95718,17.8539464763527,-5.64384519477095,-6.25391287338925,-7.18668335929292,-5.8382075,-6.75633316666667,-6.49766674775396,11.8057153481885
6050,16.5367225216804,18.3031361731093,16.3582877620425,15.857974,15.961931,17.3975398900588,-4.99827187269702,-5.25007981409042,-7.47205272795981,-5.5102945,-6.17364616666666,-5.79207403541475,15.2144519977
6157,16.5466079378346,17.9465109870255,16.4857814004778,16.0029583333333,16.1134478333333,17.5153886660388,-3.96108768889436,-3.69133850358507,-7.70259441325174,-4.914231,-5.56414566666666,-5.82875652547437,14.8479136503676
6265,16.5170316404393,17.8507473080333,15.8050999621109,15.5327418333333,15.7916383333333,17.1124049277658,-5.44727846301672,-5.97694464773981,-9.16366234486406,-6.49035033333333,-7.03162183333334,-6.07020316010756,14.7733457258066
6372,16.5634760692795,18.0922031418184,16.0881932322973,16.119764,16.0281603333333,17.467810854286,-4.4455269613101,-5.19397388383985,-6.6676157269144,-5.20537983333333,-5.89724066666666,-5.32951621009728,14.7954277042625
6477,16.5471602673545,18.2782676435348,16.7421675365067,15.8444601666667,15.8425076666667,17.4198653444834,-4.46021701561164,-4.32397444131644,-7.07224795041757,-5.48566783333333,-5.98912666666666,-5.3805504633024,16.6069109409427
